_orig_index,text,clean_text_sample,text_sentiment
566,"Bull market creates stupid investor ,
Stupid investors creat bear market ,
Bear market creates smart investors,
Smart investors creates bull market,

And the cycle keeps on repeating.
Credit - Gunjan maheta 
#bearish 
#BearMarket","Bull market creates stupid investor , Stupid investors creat bear market , Bear market creates smart investors, Smart investors creates bull market, And the cycle keeps on repeating. Credit - Gunjan maheta #bearish #BearMarket",1
567,"Bull market creates stupid investors,
Stupid investors create bear market, 
Bear market creates smart investors,
Smart investors create bull market _ºï_

Market may be down but don't be stupid investors __

#bearmarket #sharemarket #nse #indianstockmarket","Bull market creates stupid investors, Stupid investors create bear market, Bear market creates smart investors, Smart investors create bull market _oï_ Market may be down but don't be stupid investors __ #bearmarket #sharemarket #nse #indianstockmarket",2
568,"Bull market creates stupid investors,
Stupid investors create bear market,
Bear market creates smart investors,
Smart investors create bull market.

#stocks #StockMarket #equities #bearmarket #bullmarket","Bull market creates stupid investors, Stupid investors create bear market, Bear market creates smart investors, Smart investors create bull market. #stocks #StockMarket #equities #bearmarket #bullmarket",1
569,"Bull's will be crushed!!
#bearmarket #Nifty #Niftybank #StockMarket",Bull's will be crushed!! #bearmarket #Nifty #Niftybank #StockMarket,2
570,"Bulls we need more liquidity
#stockmarketcrash",Bulls we need more liquidity #stockmarketcrash,0
571,"Bunge itavunjwa on 16th June... by then Ruto will have known why we don't have a name for marinated chicken in Luhya Nation.
#TheDig #stockmarketcrash",Bunge itavunjwa on 16th June... by then Ruto will have known why we don't have a name for marinated chicken in Luhya Nation. #TheDig #stockmarketcrash,0
572,But...I you are investing in #Altcoins then pick quality. Which projects are building through this #bearmarket ? If they are then may be a solid bet.,But...I you are investing in #Altcoins then pick quality. Which projects are building through this #bearmarket ? If they are then may be a solid bet.,1
573,"Buy #havells @ 1105/1109 sl 1100 tgt 1119/1123

#stockmarketcrash #stocks #Trader #investing #StocksToBuy #buythedip 
@kiran_jadhav_ @SubhadipNandy16 @AnyBodyCanFly @JakeraChoudhury",Buy #havells @ 1105/1109 sl 1100 tgt 1119/1123 #stockmarketcrash #stocks #Trader #investing #StocksToBuy #buythedip <USER> <USER> <USER> <USER>,0
574,"Buy 

Hindalco 400 PE - 18 

SL - 16.5 

#hindalco #nifty #stockmarketcrash #StockMarket #banknifty",Buy Hindalco 400 PE - 18 SL - 16.5 #hindalco #nifty #stockmarketcrash #StockMarket #banknifty,0
575,Buy option gayab ho gaya hai kya __ #stockmarkets band karo itna selling ___ #bearmarket,Buy option gayab ho gaya hai kya __ #stockmarkets band karo itna selling ___ #bearmarket,0
576,"Buy order hit as market down by ~10% from ATH.

Added more units. No recommendation. 

#nifty50 @ 16405

#MutualFunds #stockmarketcrash #Nifty",Buy order hit as market down by ~10% from ATH. Added more units. No recommendation. #nifty50 @ 16405 #MutualFunds #stockmarketcrash #Nifty,2
577,Buy the Dip has changed to Bye the Dip #stockmarketcrash #StockMarketindia,Buy the Dip has changed to Bye the Dip #stockmarketcrash #StockMarketindia,0
578,"Buy the dip and sale the quick rip!
#buythedip #saletherip #cryptocurrecy #Bitcoin  #bearmarket",Buy the dip and sale the quick rip! #buythedip #saletherip #cryptocurrecy #Bitcoin #bearmarket,0
579,Buy the dip or just #hodl ? #stockmarketcrash,Buy the dip or just #hodl ? #stockmarketcrash,0
580,"Buy the dip till you become majority shareholder of the company.__

#SGXNIFTY
#stockmarketcrash 
#StockMarketindia #Nifty",Buy the dip till you become majority shareholder of the company.__ #SGXNIFTY #stockmarketcrash #StockMarketindia #Nifty,0
581,"Buy the dippppppp!!!!!!!

#stockmarketcrash #StockMarket #buythedip #Nifty",Buy the dippppppp!!!!!!! #stockmarketcrash #StockMarket #buythedip #Nifty,0
582,Buy when there is blood in the streets even if its your own blood. Be greedy when others are fearful #stockmarketcrash,Buy when there is blood in the streets even if its your own blood. Be greedy when others are fearful #stockmarketcrash,2
583,"Buying #NFTs now means hold them for at least 6 months to sell in profit because of the #bearmarket

Prove me wrong

#NFTCommunity",Buying #NFTs now means hold them for at least 6 months to sell in profit because of the #bearmarket Prove me wrong #NFTCommunity,2
584,Buying commodities should give better results than buying stocks at 52 wk low for short term traders atm. #commodityshock #stockmarketcrash #investing,Buying commodities should give better results than buying stocks at 52 wk low for short term traders atm. #commodityshock #stockmarketcrash #investing,1
585,"CAMS is in green
#stockmarketcrash",CAMS is in green #stockmarketcrash,0
586,"CLOSE THE DAMN MARKETS!!!!

#stockmarketcrash",CLOSE THE DAMN MARKETS!!!! #stockmarketcrash,2
587,"CNBC thinks 25 year-olds should buy $KHC and $VZ because $RBLX and $TWLO __ill never recover_. __

Just wow. How is this legal? That__ the worst advice you can give a young person. Give me a break man. #investing #stockmarketcrash #stocks_",CNBC thinks 25 year-olds should buy <TICKER> and <TICKER> because <TICKER> and <TICKER> __ill never recover_. __ Just wow. How is this legal? That__ the worst advice you can give a young person. Give me a break man. #investing #stockmarketcrash #stocks_,2
588,"Can Mr. Powell's speech change the destiny of DOLLAR on the bull side?
#dollar #Powell #forex #Friday #forexsignals #stockmarketcrash #XAUUSD",Can Mr. Powell's speech change the destiny of DOLLAR on the bull side? #dollar #Powell #forex #Friday #forexsignals #stockmarketcrash #XAUUSD,0
589,"Can NFT's survive near markets? What do you think?

#cryptocurrency #bearmarket #Bitcoin #Etherum #NFT",Can NFT's survive near markets? What do you think? #cryptocurrency #bearmarket #Bitcoin #Etherum #NFT,0
590,Can't believe my Crypto portfolio is outperforming my growth stocks portfolio. Maybe crypto is going to follow soon..... #stockmarketcrash #fedmeeting,Can't believe my Crypto portfolio is outperforming my growth stocks portfolio. Maybe crypto is going to follow soon..... #stockmarketcrash #fedmeeting,1
591,"Can't even afford a Mid Life crisis now.

#stockmarketcrash",Can't even afford a Mid Life crisis now. #stockmarketcrash,2
592,Can't imagine how people will start flipping when they realize that the largest pork processing company (that Obama allowed to be sold to CHINA) has closed their doors. #stockmarketcrash,Can't imagine how people will start flipping when they realize that the largest pork processing company (that Obama allowed to be sold to CHINA) has closed their doors. #stockmarketcrash,0
593,"Can__ help but think this bear market is a blessing from the crypto gods. 

With the majority of us buying in at incredibly overvalued prices, this mana from the heavens gives us the chance to lower our average entry price drastically.

#CryptoMarket #bearmarket #opportunity","Can__ help but think this bear market is a blessing from the crypto gods. With the majority of us buying in at incredibly overvalued prices, this mana from the heavens gives us the chance to lower our average entry price drastically. #CryptoMarket #bearmarket #opportunity",1
594,"Candle of day 10/03/2022 closed.

Open: $ 41,948.65
High: $ 42,044.09
Low: $ 38,605.83
Close: $ 39,418.92

Change: -6.42%

#Bitcoin #Candle #BearMarket","Candle of day 10/03/2022 closed. Open: $ 41,948.65 High: $ 42,044.09 Low: $ 38,605.83 Close: $ 39,418.92 Change: -6.42% #Bitcoin #Candle #BearMarket",2
595,"Candle of day 21/04/2022 closed.

Open: $ 41,419.04
High: $ 42,987.58
Low: $ 39,998.67
Close: $ 40,546.89

Change: -2.15%

#Bitcoin #Candle #BearMarket","Candle of day 21/04/2022 closed. Open: $ 41,419.04 High: $ 42,987.58 Low: $ 39,998.67 Close: $ 40,546.89 Change: -2.15% #Bitcoin #Candle #BearMarket",2
596,"Candle of day 25/05/2022 closed.

Open: $ 29,634.89
High: $ 30,194.16
Low: $ 29,352.26
Close: $ 29,522.92

Change: -0.38%

#Bitcoin #Candle #BearMarket","Candle of day 25/05/2022 closed. Open: $ 29,634.89 High: $ 30,194.16 Low: $ 29,352.26 Close: $ 29,522.92 Change: -0.38% #Bitcoin #Candle #BearMarket",2
597,Caterpillar ( $CAT) stock plunges over 5% even after smashing the estimates! #stockmarketcrash #StockMarket #StocksInFocus #stockstowatch #stockmarkets #CAT #Caterpillar,Caterpillar ( <TICKER> ) stock plunges over 5% even after smashing the estimates! #stockmarketcrash #StockMarket #StocksInFocus #stockstowatch #stockmarkets #CAT #Caterpillar,0
598,Cathie Wood: #Bearmarket in #Bitcoin and #Crypto may be almost over.,Cathie Wood: #Bearmarket in #Bitcoin and #Crypto may be almost over.,0
599,Ce qui pricÃ©  c'est le hike de 75 points de base par contre c'est qui n'est pas pricÃ© c'est la FED monetary policy qui sera  devoilÃ©e dans le speech de Powell tant attendu. #Bitcoin #stockmarketcrash $BTC #bearmarket,Ce qui pricÃ© c'est le hike de 75 points de base par contre c'est qui n'est pas pricÃ© c'est la FED monetary policy qui sera devoilÃ©e dans le speech de Powell tant attendu. #Bitcoin #stockmarketcrash <TICKER> #bearmarket,0
600,Chances of hike in repo rate is more so market may go down in next 15 days.#inflation #CPI #economy #markets #recession #stockmarketcrash,Chances of hike in repo rate is more so market may go down in next 15 days.#inflation #CPI #economy #markets #recession #stockmarketcrash,1
601,Channnn se jo tute koi sapnaaaaaa #stockmarketcrash,Channnn se jo tute koi sapnaaaaaa #stockmarketcrash,0
602,"Check out the detailed analysis of #AsianPaints Posted Yesterday.

It's pinned on my profile page.

#ASIANPAINT #Crude #StockMarket #crash #stockmarketcrash",Check out the detailed analysis of #AsianPaints Posted Yesterday. It's pinned on my profile page. #ASIANPAINT #Crude #StockMarket #crash #stockmarketcrash,0
603,"Cheers to those who have required cash to buy dip this time.. __
#StockMarket #stockmarketcrash",Cheers to those who have required cash to buy dip this time.. __ #StockMarket #stockmarketcrash,1
604,"Chill the bottom is here 1k more or less who cares.

Up only from here.

Everyone is in panic mode this IS the bottom.

#uponly #Bitcoin #bearmarket",Chill the bottom is here 1k more or less who cares. Up only from here. Everyone is in panic mode this IS the bottom. #uponly #Bitcoin #bearmarket,2
605,"Close your longs or sell your #Bitcoin.There will be no more warnings. 
$BTC $ETH #stockmarketcrash #Crypto #BitcoinCrash",Close your longs or sell your #Bitcoin.There will be no more warnings. <TICKER> <TICKER> #stockmarketcrash #Crypto #BitcoinCrash,2
606,"Comments on current crypto market?___ 

#cryptocurrency #bearmarket #NFTCommunity #CryptoMarket",Comments on current crypto market?___ #cryptocurrency #bearmarket #NFTCommunity #CryptoMarket,0
607,"Commodity and share market both trading in red ,a rare situation I have witnessed during my trading journey of 3 years.
Rs trading at 78.22 adding to the flame __
#stockmarketcrash 
#StockMarket 
#Gold 
#commodity","Commodity and share market both trading in red ,a rare situation I have witnessed during my trading journey of 3 years. Rs trading at 78.22 adding to the flame __ #stockmarketcrash #StockMarket #Gold #commodity",1
608,"Common sense and unbiased logic are profitable virtues. 

#StockMarketcrash #Cryptocrash #stockmarketindia #StocksToBuy",Common sense and unbiased logic are profitable virtues. #StockMarketcrash #Cryptocrash #stockmarketindia #StocksToBuy,1
609,"Companies performing well ___

Stock price going down ___

Me loading up on more ___

#investing #investor #stockmarket #bearmarket",Companies performing well ___ Stock price going down ___ Me loading up on more ___ #investing #investor #stockmarket #bearmarket,1
610,"Created New Milestore for Yearly PnL
, Videos will come in next 1-2 weeks

#believe #stockmarketcrash","Created New Milestore for Yearly PnL , Videos will come in next 1-2 weeks #believe #stockmarketcrash",1
611,"Creen que en este mercado de ""efecto crisis"" #bearmarket l
a cotizaciÃ³n del token #ETH llegue a estar por debajo de los 1.000$___

#Ethereum","Creen que en este mercado de ""efecto crisis"" #bearmarket l a cotizaciÃ3n del token #ETH llegue a estar por debajo de los 1.000$___ #Ethereum",2
612,"Crushing it in $SEDG &amp; $ENPH this morning  
I consider them part of the Tech allocation to portfolios as they run more with $QQQ than energy stocks  
#investing #investors #stocks #stockmarkets #BearMarket2022",Crushing it in <TICKER> &amp; <TICKER> this morning I consider them part of the Tech allocation to portfolios as they run more with <TICKER> than energy stocks #investing #investors #stocks #stockmarkets #BearMarket2022,2
613,Crypto Crash humbled everyone ______#Cryptocrash #BitcoinCrash #CryptoMarket #bearmarket,Crypto Crash humbled everyone ______#Cryptocrash #BitcoinCrash #CryptoMarket #bearmarket,2
614,"Crypto bros got too cocky, #Luna is a shitshow. $AMC bros got too cocky, #AMC is a shitshow. $TSLA bros got too cocky, #stockmarketcrash is real. __","Crypto bros got too cocky, #Luna is a shitshow. <TICKER> bros got too cocky, #AMC is a shitshow. <TICKER> bros got too cocky, #stockmarketcrash is real. __",2
615,Crypto bull market coming out of the woodwork. Everyone was panicking yesterday while we were buying! #cryptocrash #cryptocurrency #bearmarket #altcoin #Bullish #buythedip #CryptoNews,Crypto bull market coming out of the woodwork. Everyone was panicking yesterday while we were buying! #cryptocrash #cryptocurrency #bearmarket #altcoin #Bullish #buythedip #CryptoNews,2
616,Crypto community has a toxic trend of screaming HODL and not looking at the bigger picture in terms of the economy. #CT #bearmarket,Crypto community has a toxic trend of screaming HODL and not looking at the bigger picture in terms of the economy. #CT #bearmarket,2
617,"Crypto crash is coming as India introduce 30% tax on crypto trading _
Massive sell on the way
#cryptocrash 
#bearmarket 
#sell
#Bitcoin",Crypto crash is coming as India introduce 30% tax on crypto trading _ Massive sell on the way #cryptocrash #bearmarket #sell #Bitcoin,2
618,"Crypto did not kill himself.
#BTC #ETH $BTC $ETH #crypto #bear #BearMarket2022",Crypto did not kill himself. #BTC #ETH <TICKER> <TICKER> #crypto #bear #BearMarket2022,1
619,"Crypto market has crashed again just because of Russian troops attack on Ukraine 
#Russian #UkraineRussia #stockmarketcrash",Crypto market has crashed again just because of Russian troops attack on Ukraine #Russian #UkraineRussia #stockmarketcrash,2
620,"Crypto market is at a psychological point where, at any time, we could go in #bearmarket __
If this scenario happens, I'll keep holding, staking and compounding my $ATOM, $SCRT &amp; $JUNO. And these 3 will be the only one I'll buy (+ $BTC &amp; $ETH).

Below a _§µ on 13 reasons why","Crypto market is at a psychological point where, at any time, we could go in #bearmarket __ If this scenario happens, I'll keep holding, staking and compounding my <TICKER> , <TICKER> &amp; <TICKER> . And these 3 will be the only one I'll buy (+ <TICKER> &amp; <TICKER> ). Below a _§μ on 13 reasons why",0
621,Cut Russia from #SWIFT !     __ociety for Worldwide Interbank Financial Telecommunication_ an intermediary and executor of financial transactions between banks worldwide. #JoeBiden #Democrats #stockmarketcrash #UnitedNations,Cut Russia from #SWIFT ! __ociety for Worldwide Interbank Financial Telecommunication_ an intermediary and executor of financial transactions between banks worldwide. #JoeBiden #Democrats #stockmarketcrash #UnitedNations,2
622,"DCA your way into the paradise! #crypto #Avalanche #avax #bluechip

Fuck the #bearmarket.

Keep compounding, developing, accumulating &amp; compounding. 

Best time to DCA IS NOW!!!","DCA your way into the paradise! #crypto #Avalanche #avax #bluechip Fuck the #bearmarket. Keep compounding, developing, accumulating &amp; compounding. Best time to DCA IS NOW!!!",1
623,"DURING the nine years from March 2000 to March 2009, stock 

prices actually declined.

Know when to hold and when to get the hell out.

#stockmarkets #stockmarketcrash #investingtips #stocks","DURING the nine years from March 2000 to March 2009, stock prices actually declined. Know when to hold and when to get the hell out. #stockmarkets #stockmarketcrash #investingtips #stocks",2
624,"Daily reminder: Joe Biden has been behind every bad foreign policy decision from 1973 - 2016 skipped 4 years and he__ back. 

#BidenWorstPresidentEver #BidenIsALaughingstock 
#stockmarketcrash",Daily reminder: Joe Biden has been behind every bad foreign policy decision from 1973 - 2016 skipped 4 years and he__ back. #BidenWorstPresidentEver #BidenIsALaughingstock #stockmarketcrash,2
625,"Daily routine
Get up
Get anxiety attack at 9:15am
Eat
Get second dose of anxiety at 3:30pm
Sleep.
#stockmarketcrash
#StockMarket 
#Cryptocrash 
#cryptocurrency",Daily routine Get up Get anxiety attack at 9:15am Eat Get second dose of anxiety at 3:30pm Sleep. #stockmarketcrash #StockMarket #Cryptocrash #cryptocurrency,2
626,Dalal street can now be called DA-LAL street! #StockMarket #Nifty #sharemarket #stockmarketcrash,Dalal street can now be called DA-LAL street! #StockMarket #Nifty #sharemarket #stockmarketcrash,0
627,"Damn, did Bitcoin just pull a huge April fools day joke and now were crashing down to 25k?!?! _¤ªHappy April Fools day! Now your all broke LOL #aprilfools #bitcoin #bitcoinaprilfoolsday #btc #bearmarket #btccrash #weregoingdown #wheresthefloor #btc20k #aprilfoolsday2022","Damn, did Bitcoin just pull a huge April fools day joke and now were crashing down to 25k?!?! _¤aHappy April Fools day! Now your all broke LOL #aprilfools #bitcoin #bitcoinaprilfoolsday #btc #bearmarket #btccrash #weregoingdown #wheresthefloor #btc20k #aprilfoolsday2022",2
628,"Day 085 of asking the @SECGov and @GaryGensler to protect retail investors by suspending off-exchange, unregulated dark pools for any security whose dark pool volume was &gt;50% on the previous trading day. (Ref: #AMC and #GME ) 

#DarkPoolAbuse 
#ProtectRetail
#StockMarketCrash","Day 085 of asking the <USER> and <USER> to protect retail investors by suspending off-exchange, unregulated dark pools for any security whose dark pool volume was &gt;50% on the previous trading day. (Ref: #AMC and #GME ) #DarkPoolAbuse #ProtectRetail #StockMarketCrash",1
629,"Day 086 of asking the @SECGov and @GaryGensler to protect retail investors by suspending off-exchange, unregulated dark pools for any security whose dark pool volume was &gt;50% on the previous trading day. (Ref: #AMC and #GME ) 

#DarkPoolAbuse 
#ProtectRetail
#StockMarketCrash","Day 086 of asking the <USER> and <USER> to protect retail investors by suspending off-exchange, unregulated dark pools for any security whose dark pool volume was &gt;50% on the previous trading day. (Ref: #AMC and #GME ) #DarkPoolAbuse #ProtectRetail #StockMarketCrash",1
630,Dear #USA citizens and voters...Remember all of the BS the @DNC caused when its time to vote at all levels. #stockmarketcrash #COVID19 #lockdown #workershortage #shortages #FuelPrice #FoodShortage #masshootings #HateCrime,Dear #USA citizens and voters...Remember all of the BS the <USER> caused when its time to vote at all levels. #stockmarketcrash #COVID19 #lockdown #workershortage #shortages #FuelPrice #FoodShortage #masshootings #HateCrime,1
631,"Dear @POTUS ,
I beg you in the name of all things holy to fix this economy. I am a poor black single mother and my #401k is taking a nosedive. #America please help me ask @POTUS to do a better job. Thank you!
#BlackLivesMatter #stockmarketcrash","Dear <USER> , I beg you in the name of all things holy to fix this economy. I am a poor black single mother and my #401k is taking a nosedive. #America please help me ask <USER> to do a better job. Thank you! #BlackLivesMatter #stockmarketcrash",1
632,"Dear @zerodhaonline, You can change the field name of ""Today's gain"" to ""Today's loss"" and show values in 1 for a day.

Let's be optimistic.

#WWIII #RussiaUkraineConflict #stockmarketcrash","Dear <USER> , You can change the field name of ""Today's gain"" to ""Today's loss"" and show values in 1 for a day. Let's be optimistic. #WWIII #RussiaUkraineConflict #stockmarketcrash",1
633,"Dear Hedgies,
I would like to inform you, if you haven__ figured it out by now, there is no way out. We are not selling. We will not go away. You cannot win! 
Sincerely 
The Apes 
#GME #AMCSTOCK #HODL #buythedip #DarkPoolAbuse #MOASS #stockmarketcrash #GameStop #APESNOTLEAVING","Dear Hedgies, I would like to inform you, if you haven__ figured it out by now, there is no way out. We are not selling. We will not go away. You cannot win! Sincerely The Apes #GME #AMCSTOCK #HODL #buythedip #DarkPoolAbuse #MOASS #stockmarketcrash #GameStop #APESNOTLEAVING",2
634,Definitely loaded too much during the Bull market of 2021. Definitely a balancing act. The men are separated from the boys who time the bear market right. #cryptotrading #bearmarket    _§¸___§¸,Definitely loaded too much during the Bull market of 2021. Definitely a balancing act. The men are separated from the boys who time the bear market right. #cryptotrading #bearmarket _§ ̧___§ ̧,1
635,"Despite the crypto #bearmarket, NFTs are still growing!! I don't think I even understand why, but I won't complain 

#ethnft  #SolanaNFTs #NFTs","Despite the crypto #bearmarket, NFTs are still growing!! I don't think I even understand why, but I won't complain #ethnft #SolanaNFTs #NFTs",1
636,Didn__ hold @15650 and down made low of @15328  almost 300 points__ #nifty50 #niftyOptions #NIFTYFUTURE #stockmarketcrash #stockmarkets,Didn__ hold <USER> and down made low of <USER> almost 300 points__ #nifty50 #niftyOptions #NIFTYFUTURE #stockmarketcrash #stockmarkets,2
637,"Dipping the Dip at the deepest Dip is the Stock Market trend now..... 
One guarantee is, it__ never out of surprises, it__ Valentines Day after all !
#stockmarketcrash #DowJones #Futures #CrudeOil #Trader #Crypto #altcoins","Dipping the Dip at the deepest Dip is the Stock Market trend now..... One guarantee is, it__ never out of surprises, it__ Valentines Day after all ! #stockmarketcrash #DowJones #Futures #CrudeOil #Trader #Crypto #altcoins",1
638,"Disastrous withdrawal from Afghanistan.
Inflation hitting records.
Grocery shelves empty.
Supply Chain crisis.
#StockMarketCrash.
President is senile.

Yes Democrats, people are super concerned about January 6. You are not going to get slaughtered in the midterms or anything.","Disastrous withdrawal from Afghanistan. Inflation hitting records. Grocery shelves empty. Supply Chain crisis. #StockMarketCrash. President is senile. Yes Democrats, people are super concerned about January 6. You are not going to get slaughtered in the midterms or anything.",2
639,"Diwali sale in June. Stocks available at heavily discounted price.
 #stockmarketcrash",Diwali sale in June. Stocks available at heavily discounted price. #stockmarketcrash,1
640,"Do Kwon's historic inaction might have broken crypto. A contagion of rug pulls and bear market due to the influence of just one person; this makes you wonder if crypto will ever near the point where it replaces fiat.
 
#bearmarket 
#CryptoMarket",Do Kwon's historic inaction might have broken crypto. A contagion of rug pulls and bear market due to the influence of just one person; this makes you wonder if crypto will ever near the point where it replaces fiat. #bearmarket #CryptoMarket,2
641,"Do Nothing During a Market Crash. If you believe in your investing strategy and your current portfolio assets, don__ change your plans unless you have a good reason. When you built your_portfolio. 

#Nifty #NIFTYFUTURE
#Niftybank #niftyOptions #stockmarketcrash #stockmarketnews","Do Nothing During a Market Crash. If you believe in your investing strategy and your current portfolio assets, don__ change your plans unless you have a good reason. When you built your_portfolio. #Nifty #NIFTYFUTURE #Niftybank #niftyOptions #stockmarketcrash #stockmarketnews",1
642,Do not go where the path may lead  instead go to where there is no path and leave a trail. #yks2022 #FuelPrices #stockmarketcrash #atinydisband,Do not go where the path may lead instead go to where there is no path and leave a trail. #yks2022 #FuelPrices #stockmarketcrash #atinydisband,2
643,Do not make trading decisions during the day. Recipe for disaster. Plan your moves outside market hours. #stockmarketcrash #investor #TRADINGTIPS,Do not make trading decisions during the day. Recipe for disaster. Plan your moves outside market hours. #stockmarketcrash #investor #TRADINGTIPS,2
644,"Do not put all your Eggs in one basket. 
Always Diversify your Losses! 

Instead of Losing money in Stocks, also Lose in Crypto and NFTs! 

#stockmarketcrash #Cryptos #NFT","Do not put all your Eggs in one basket. Always Diversify your Losses! Instead of Losing money in Stocks, also Lose in Crypto and NFTs! #stockmarketcrash #Cryptos #NFT",2
645,Do people know what a crash is? lol This ain't it. #stockmarketcrash,Do people know what a crash is? lol This ain't it. #stockmarketcrash,1
646,Do you also check markets first thing in morning or are you normal?__ #Crypto #cryptocurrency #stockmarkets #stockmarketcrash,Do you also check markets first thing in morning or are you normal?__ #Crypto #cryptocurrency #stockmarkets #stockmarketcrash,0
647,"Do you fear the #bearmarket 

or

Hunt during the #bearmarket",Do you fear the #bearmarket or Hunt during the #bearmarket,2
648,"Do you know the top 10 reasons for Franchising your business?
Have a look at the list created by sparkleminds
Connect with @sparkleminds today and learn more reasons to Franchise your Business
#bitcoincrash #stockmarketcrash #Sensex #nifty #franchise #india",Do you know the top 10 reasons for Franchising your business? Have a look at the list created by sparkleminds Connect with <USER> today and learn more reasons to Franchise your Business #bitcoincrash #stockmarketcrash #Sensex #nifty #franchise #india,1
649,Do you think #Nifty has overreacted to the #UkraineInvasion #stockmarketcrash _,Do you think #Nifty has overreacted to the #UkraineInvasion #stockmarketcrash _,2
650,"Do you think a recession is coming in 2022? 
#recession #inflation #stockmarketcrash",Do you think a recession is coming in 2022? #recession #inflation #stockmarketcrash,2
651,"Do you think this is the bottom for #bitcoin or is there a leg down ?

#btc #Cryptocrash #bearmarket 

BITCOIN BOTTOM ________",Do you think this is the bottom for #bitcoin or is there a leg down ? #btc #Cryptocrash #bearmarket BITCOIN BOTTOM ________,0
652,"Do you want to set yourself out from the competition?
Begin franchising your company.
One of the reasons to franchise your business is to gain an advantage over your competitors.
#bitcoincrash #stockmarketcrash #Sensex #nifty #franchise #India",Do you want to set yourself out from the competition? Begin franchising your company. One of the reasons to franchise your business is to gain an advantage over your competitors. #bitcoincrash #stockmarketcrash #Sensex #nifty #franchise #India,1
653,"Does anyone know if $gme and $amc will decline tomorrow?
Because I'm going all in, meaning all my card limits, so please be honest.

#gme #amc #StockMarket #stockmarketcrash $amc $gme","Does anyone know if <TICKER> and <TICKER> will decline tomorrow? Because I'm going all in, meaning all my card limits, so please be honest. #gme #amc #StockMarket #stockmarketcrash <TICKER> <TICKER>",1
654,"Dollar cost averaging is the best thing you can do in a, #bearmarket.
If you got 100_ to invest each month, #invest automatically each Sunday. Apps like @cryptocom  offer auto invest. Never invest all at once, and never what you can't afford to loose. In for the dpi!","Dollar cost averaging is the best thing you can do in a, #bearmarket. If you got 100_ to invest each month, #invest automatically each Sunday. Apps like <USER> offer auto invest. Never invest all at once, and never what you can't afford to loose. In for the dpi!",1
655,"Don't know why people r giving recommendations on Twitter, When nifty is weak &amp; is in downtrend, most of the breakouts will fail.
#stockmarketcrash","Don't know why people r giving recommendations on Twitter, When nifty is weak &amp; is in downtrend, most of the breakouts will fail. #stockmarketcrash",2
656,"Don't listen indian analyst 
Don't watch tv
Watch dow Jones 
Fact is sensex follow dow Jones 
#stockmarketcrash",Don't listen indian analyst Don't watch tv Watch dow Jones Fact is sensex follow dow Jones #stockmarketcrash,0
657,"Don't rush to buy this dip!

#BitcoinCrash #Bullttap #BTC #Ethereum #NFT #bearmarket #altcoins",Don't rush to buy this dip! #BitcoinCrash #Bullttap #BTC #Ethereum #NFT #bearmarket #altcoins,0
658,"Don't think or confuse ""but it's a good company"" with its stock during a #BearMarket.","Don't think or confuse ""but it's a good company"" with its stock during a #BearMarket.",1
659,"Don't worry too much about your 401K  during this market downturn. I'm in my 40s, I can't touch that money for another 20 yrs. So this year or next 2 yrs will not matter. I will keep contributing &amp; see where it ends when I'm old enough.

#investment #stockmarketcrash #wealth","Don't worry too much about your 401K during this market downturn. I'm in my 40s, I can't touch that money for another 20 yrs. So this year or next 2 yrs will not matter. I will keep contributing &amp; see where it ends when I'm old enough. #investment #stockmarketcrash #wealth",1
660,"Don't you just love it when a family member asks you about #crypto, then asks what to invest in.... #bearmarket","Don't you just love it when a family member asks you about #crypto, then asks what to invest in.... #bearmarket",2
661,Don__ be afraid to #sell and buy back in at a lower price. There are few companies that are #buy and hold forever. Especially if they don__ pay a #dividend. #investing #stockmarketcrash #Cryptocrash #trading #FinancialFreedom #FinancialWellBeing #FinancialEducation #HODL,Don__ be afraid to #sell and buy back in at a lower price. There are few companies that are #buy and hold forever. Especially if they don__ pay a #dividend. #investing #stockmarketcrash #Cryptocrash #trading #FinancialFreedom #FinancialWellBeing #FinancialEducation #HODL,2
662,"Don__ fall for these bear traps at 25k BTC , everything is green however the red is soon to come . This is a game of sheer patience! #bull #Cryptocrash #btc #Binance #TRX #alts #bearmarket #lunacoin #LUNA #terraluna #DoKwon","Don__ fall for these bear traps at 25k BTC , everything is green however the red is soon to come . This is a game of sheer patience! #bull #Cryptocrash #btc #Binance #TRX #alts #bearmarket #lunacoin #LUNA #terraluna #DoKwon",0
663,"Don__ look at your investment portfolio day_apparently the stock market dipped down low, and it__ bad.  Lost 10% of my investments *snaps fingers* just like that.  I am nauseated. #stockmarketcrash #StockMarket","Don__ look at your investment portfolio day_apparently the stock market dipped down low, and it__ bad. Lost 10% of my investments *snaps fingers* just like that. I am nauseated. #stockmarketcrash #StockMarket",2
664,"Don__ make the same mistake this #bearmarket. Generational opportunities are exactly that, generational","Don__ make the same mistake this #bearmarket. Generational opportunities are exactly that, generational",1
665,"Don__ panic. Look at the bigger picture. and WGMI

#bearmarket #insights",Don__ panic. Look at the bigger picture. and WGMI #bearmarket #insights,2
666,"Don__ whine about #eth going down and #BearMarket2022

Be instead grateful that you are in a position where you have the audacity to whine over such thing!",Don__ whine about #eth going down and #BearMarket2022 Be instead grateful that you are in a position where you have the audacity to whine over such thing!,2
